name|1st Serve %|1st Serve Won %|2nd Serve Won %|1st Serve Effectiveness|Serve Rating|Service Points Won %|Svc. In-play Pts. Won %|Points per Service Game|Pts. Lost per Svc. Game|Break Points Saved %|BPs per Svc. Game|BPs Faced per Set|BPs Faced per Match|Service Games Won %|Svc. Gms. Lost per Set|Svc. Gms. Lost per Match
Arnaud Clement|56.8|70.6|50.2|1.41|316|61.8|61.5|6.51|2.49|59.5|0.59|2.86|7.4|75.9|1.16|3.0
Mario Ancic|61.2|75.5|51.9|1.46|343|66.4|64.3|6.21|2.09|62.1|0.43|2.11|5.4|83.8|0.80|2.1
Francisco Clavet|63.6|65.3|51.7|1.26|312|60.4|61.2|6.54|2.59|58.1|0.64|2.97|7.4|73.4|1.24|3.1
Horst Skoff|58.6|66.0|49.3|1.34|302|59.1|59.7|6.59|2.70|56.8|0.68|3.17|7.2|70.6|1.37|3.1
Alexander Volkov|52.6|71.8|49.2|1.46|312|61.1|61.4|6.65|2.59|60.7|0.62|2.97|7.8|75.7|1.16|3.1
Jay Berger|55.4|71.9|38.3|1.88|285|56.9|59.7|7.00|3.02|56.8|0.79|3.38|8.8|66.1|1.46|3.8
Wally Masur|66.2|70.2|52.8|1.33|334|64.4|64.0|6.42|2.29|61.2|0.50|2.46|6.5|80.7|0.95|2.5
Philipp Kohlschreiber|60.5|72.1|53.9|1.34|335|64.9|64.0|6.32|2.22|62.9|0.50|2.40|6.1|81.5|0.89|2.2
Jordi Arrese|72.2|61.8|48.1|1.29|304|58.0|59.0|6.59|2.77|55.6|0.72|3.42|8.4|68.1|1.52|3.7
Tim Wilkison|68.3|53.7|31.6|1.70|193|46.7|54.9|7.50|4.00|16.7|0.75|3.00|6.0|37.5|2.50|5.0
Paradorn Srichaphan|56.9|73.6|52.0|1.41|325|64.3|64.2|6.35|2.27|59.4|0.50|2.44|6.1|79.5|0.99|2.5
Jason Stoltenberg|57.0|73.0|48.5|1.50|318|62.5|62.8|6.55|2.46|60.1|0.57|2.71|7.0|77.2|1.08|2.8
Mark Woodforde|57.5|71.1|49.3|1.44|318|61.9|62.5|6.60|2.52|61.7|0.61|2.92|7.4|76.8|1.12|2.8
Alexandr Dolgopolov|54.6|74.6|51.3|1.45|326|64.0|62.5|6.32|2.28|59.9|0.51|2.48|6.2|79.4|0.99|2.5
Scott Davis|56.5|69.2|46.1|1.50|294|59.1|61.6|6.69|2.73|52.6|0.59|2.84|7.3|72.2|1.35|3.5
Max Mirnyi|62.6|76.0|51.5|1.48|345|66.8|65.9|6.29|2.09|64.0|0.45|2.25|5.7|83.8|0.81|2.0
Chris Woodruff|60.3|71.8|48.2|1.49|322|62.4|63.0|6.54|2.46|61.4|0.57|2.78|7.3|77.9|1.07|2.8
